campaign_interests,campaign_title,campaign_details,campaign_gender,campaign_minage,campaign_maxage,campaign_followers,campaign_posts,brand_username,created,updated
"['music', 'dance']",campaign 1,Looking for Music influencers who can use our new music app and give reviews accordingly.,Female,21,26,5000,250,Outdustry,2021-06-13 16:03:46.524000,2021-06-13 16:03:46.524000
['tech'],Reliance digital,We need photography influencers to shoot our new line of products ,Female,18,27,3000,200,reliance,2021-06-13 18:02:38.429000,2021-06-22 14:32:31.880000
"['fashion', 'fitness', 'lifestyle']",Reliance Trends,Reliance Trends needs influencers to promote its new monsoon collection available both in stores and online.,Female,20,27,2000,150,reliance,2021-06-13 18:08:38.243000,2021-06-27 04:40:56.504000
['music'],Music 1,Need influencers to promote our new music app,Female,21,28,2000,100,Saregama,2021-06-14 09:19:44.638000,2021-06-22 13:21:11.742000
['photograph'],Photography 1,Need photography influencers for our upcoming photoshoot,Female,18,29,2000,200,Saregama,2021-06-15 09:04:00.109000,2021-06-22 13:23:49.264000
['fashion'],Fashion1,Need fashion influencers for an upcoming photoshoot ,Male,20,27,1500,100,Saregama,2021-06-22 10:47:37.400000,2021-06-22 20:42:28.398000
"['music', 'fashion', 'photograph']",WiMusic ,"Wipro is planning to launch a music application. We are looking for influencers in the following fields:

- Music: Influencers interested in music (singers, instrumentalists, DJs, etc) can apply. 
- Fashion: Fashion influencers are required for the promotional photoshoot. 
- Photography: Photography influencers are required for the promotional photoshoot scheduled for the launch of our app.",Female,18,28,1500,125,Wipro,2021-06-22 10:53:46.156000,2021-06-22 13:14:10.911000
['fashion'],Winter Collection,"Allen Solly is looking for fashion influencers to promote our upcoming Winter Collection, scheduled to release in November. ",Female,18,28,1500,100,Allen_Solly,2021-06-22 10:57:16.640000,2021-06-22 13:14:16.966000
"['music', 'fashion', 'photograph']",Pride Month Special,Allen Solly believes in diversity. We are planning to do a special photoshoot with influencers for our Pride Month Special video.,LGBTQ,18,28,2500,300,Allen_Solly,2021-06-22 11:00:04.936000,2021-06-22 12:12:24.025000
['photograph'],Winter Collection Photoshoot,Allen Solly is looking for photographers to cover our Winter Collection photoshoot,Male,20,27,2000,200,Allen_Solly,2021-06-22 11:02:44.272000,2021-06-22 13:04:45.981000
['photograph'],Kodak Photo Studios,Kodak Photo Studios are looking to hire influencers for multiple upcoming projects. Interested candidates can sign up.,Male,20,27,2000,250,Kodak,2021-06-22 11:14:05.125000,2021-06-22 11:14:38.810000
"['photograph', 'fashion', 'music']",WiMusic1,"Wipro is planning to launch a music application. We are looking for influencers in the following fields: - Music: Influencers interested in music (singers, instrumentalists, DJs, etc) can apply. - Fashion: Fashion influencers are required for the promotional photoshoot. - Photography: Photography influencers are required for the promotional photoshoot scheduled for the launch of our app.",LGBTQ,18,28,1500,100,Wipro,2021-06-22 12:14:19.401000,2021-06-22 12:15:41.360000
"['music', 'fashion', 'photograph']",WiMusic2,"Wipro is planning to launch a music application. We are looking for influencers in the following fields: - Music: Influencers interested in music (singers, instrumentalists, DJs, etc) can apply. - Fashion: Fashion influencers are required for the promotional photoshoot. - Photography: Photography influencers are required for the promotional photoshoot scheduled for the launch of our app.",Male,18,28,1500,125,Wipro,2021-06-22 12:15:25.073000,2021-06-22 20:42:53.203000
['photograph'],Reliance Digital 1,We need photography influencers to shoot our new line of products,Male,18,27,2000,200,reliance,2021-06-22 12:30:33.970000,2021-06-22 20:39:14.643000
['fashion'],Reliance Trends 1,Reliance Trends needs influencers to promote its new monsoon collection available both in stores and online.,Male,20,27,2000,150,reliance,2021-06-22 12:31:25.077000,2021-06-27 04:42:58.125000
['music'],Music 2,Need influencers to promote our new music app,Male,21,28,2000,100,Saregama,2021-06-22 12:32:56.797000,2021-06-22 13:26:48.530000
['fashion'],Fashion2,Need fashion influencers for an upcoming photoshoot ,Female,20,27,1500,100,Saregama,2021-06-22 12:35:03.746000,2021-06-22 13:25:01.777000
